variant,n_overlap_fig2,pearson_vs_fig2,spearman_vs_fig2,mean_abs_diff,max_abs_diff,base_dir
s18_o26,28,0.6999893054773316,0.8029556650246306,0.12264767289161682,0.20508331060409546,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s18_o26
s18_o28,28,0.6999893054773316,0.8029556650246306,0.12264767289161682,0.20508331060409546,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s18_o28
s18_o30,28,0.6999893054773316,0.8029556650246306,0.12264767289161682,0.20508331060409546,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s18_o30
s16_o24,28,0.6972711545470218,0.7881773399014778,0.12939186500651495,0.22878676652908325,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s16_o24
s10_o22,28,0.6935137717405958,0.7542419266557197,0.08399894833564758,0.15936321020126348,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s10_o22
s14_o24,28,0.682271043834709,0.7810618500273673,0.10622045929942812,0.19855037331581116,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s14_o24
s8_o22,28,0.6535466849008894,0.7235905856595511,0.06667593440839223,0.1603684425354004,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s8_o22
s16_o26,28,0.648025527949948,0.768472906403941,0.09858962999922889,0.17685839533805847,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s16_o26
s16_o28,28,0.648025527949948,0.768472906403941,0.09858962999922889,0.17685839533805847,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s16_o28
s16_o30,28,0.648025527949948,0.768472906403941,0.09858962999922889,0.17685839533805847,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s16_o30
s14_o26,28,0.6342111172518803,0.7547892720306513,0.08007716706820897,0.1490107774734497,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s14_o26
s14_o28,28,0.6342111172518803,0.7547892720306513,0.08007716706820897,0.1490107774734497,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s14_o28
s14_o30,28,0.6342111172518803,0.7547892720306513,0.08007716706820897,0.1490107774734497,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s14_o30
