model_key,relation_key,n_total,n_train,n_test,core_q,thr_train_delta,delta_mean_test,delta_mean_test_core,delta_mean_test_periphery,core_frac_test,gap_core_minus_periphery,gap_core_minus_all,pos_share_core
llama3_1_8b_instruct,adj_comparative,68,51,17,0.3,0.6921257376670837,0.6558967092457939,0.701123058795929,0.6498665293057759,0.11764705882352941,0.051256529490153024,0.04522634955013505,0.12575923095504762
llama3_1_8b_instruct,adj_superlative,80,60,20,0.3,0.6708457827568054,0.6477795511484146,0.6808023055394491,0.6336269421236855,0.3,0.04717536341576356,0.033022754391034526,0.31529351505422953
llama3_1_8b_instruct,characteristic_gender,30,22,8,0.3,0.8038379728794098,0.7838612943887711,0.8079254329204559,0.7758399148782095,0.25,0.032085518042246464,0.024064138531684875,0.25767487140389084
llama3_1_8b_instruct,company_ceo,298,223,75,0.3,0.5898580551147461,0.5657310120264689,0.6067808974872936,0.5486914369295228,0.29333333333333333,0.058089460557770756,0.041049885460824664,0.3146178298152265
llama3_1_8b_instruct,company_hq,674,505,169,0.3,0.73438401222229,0.7038268027220957,0.7552046529830448,0.6732909105858713,0.3727810650887574,0.08191374239717353,0.0513778502609491,0.3999932850101543
llama3_1_8b_instruct,country_currency,30,22,8,0.3,0.6727611362934113,0.6307505071163177,0.7044339179992676,0.6202243055616107,0.125,0.0842096124376569,0.07368341088294983,0.1396023289025596
llama3_1_8b_instruct,degree_gender,38,28,10,0.3,0.8090251624584198,0.8008987605571747,0.8197664022445679,0.7988023559252421,0.1,0.020964046319325802,0.01886764168739319,0.10235580857613855
llama3_1_8b_instruct,food_from_country,30,22,8,0.3,0.7437073111534118,0.730952262878418,0.7537325223286947,0.717284107208252,0.375,0.03644841512044272,0.02278025945027673,0.386686942811031
llama3_1_8b_instruct,fruit_inside_color,36,27,9,0.3,0.7486424922943116,0.7352008554670546,0.7546504735946655,0.7327696532011032,0.1111111111111111,0.021880820393562317,0.019449618127610924,0.11405053734378706
llama3_1_8b_instruct,fruit_outside_color,30,22,8,0.3,0.7369148433208466,0.7085907161235809,0.7449541091918945,0.7033959456852504,0.125,0.0415581635066441,0.0363633930683136,0.13141473848035354
llama3_1_8b_instruct,landmark_in_country,836,627,209,0.3,0.7668403625488281,0.7424097494645552,0.7909168640121085,0.722416952252388,0.291866028708134,0.06849991175972048,0.0485071145475533,0.310935792941828
llama3_1_8b_instruct,landmark_on_continent,947,710,237,0.3,0.8058591187000275,0.7774968290630775,0.8180585510673977,0.7552276483548233,0.35443037974683544,0.06283090271257441,0.04056172200432018,0.37292088156727493
llama3_1_8b_instruct,name_birthplace,31,23,8,0.3,0.809761905670166,0.7996903285384178,0.8127415974934896,0.7918595671653748,0.375,0.020882030328114864,0.013051268955071804,0.3811201513679639
llama3_1_8b_instruct,name_religion,31,23,8,0.3,0.8356557846069336,0.801111213862896,,0.801111213862896,0.0,,,0.0
llama3_1_8b_instruct,object_superclass,76,57,19,0.3,0.776228392124176,0.763142538698096,0.7857819880758014,0.7499361932277679,0.3684210526315789,0.03584579484803341,0.022639449377705345,0.3793506619087172
llama3_1_8b_instruct,occupation_age,45,33,12,0.3,0.7936927080154419,0.7461028397083282,0.802915116151174,0.7271654142273797,0.25,0.07574970192379427,0.0568122764428457,0.2690363423844678
llama3_1_8b_instruct,person_father,991,743,248,0.3,0.5538207054138183,0.5182269422277328,0.5788016376430041,0.49295864071164813,0.29435483870967744,0.08584299693135594,0.060574695415271274,0.32876149194580834
