model_key,relation_key,cos_improvement,n_test,subject_layer,object_layer,direction_norm
mistral_7b_instruct,superhero_archnemesis,0.4502605497837066,24,16,30,11.953720092773438
mistral_7b_instruct,superhero_person,0.5346372127532959,25,16,30,13.554370880126951
mistral_7b_instruct,task_done_by_person,0.5960051417350769,8,16,30,19.617694854736328
mistral_7b_instruct,task_done_by_tool,0.5184421539306641,13,16,30,18.845401763916016
mistral_7b_instruct,verb_past_tense,0.6854528188705444,19,16,30,21.140708923339844
mistral_7b_instruct,word_first_letter,0.6475732326507568,61,16,30,22.341716766357425
mistral_7b_instruct,word_last_letter,0.6315245628356934,61,16,30,19.962404251098636
mistral_7b_instruct,word_sentiment,0.8219422698020935,15,16,30,23.09664726257324
mistral_7b_instruct,work_location,0.5610108971595764,10,16,30,21.866958618164062
qwen2_5_7b_instruct,adj_antonym,0.4642950892448425,25,14,26,310.1683349609375
qwen2_5_7b_instruct,adj_comparative,0.4967493712902069,17,14,26,315.2796630859375
qwen2_5_7b_instruct,adj_superlative,0.49526047706604,20,14,26,292.3186340332031
qwen2_5_7b_instruct,characteristic_gender,0.5871449112892151,8,14,26,359.5592956542969
qwen2_5_7b_instruct,city_in_country,0.5543017983436584,7,14,26,327.0840148925781
qwen2_5_7b_instruct,company_ceo,0.4445355236530304,75,14,26,205.54965209960935
qwen2_5_7b_instruct,company_hq,0.5043976306915283,169,14,26,338.0179138183594
qwen2_5_7b_instruct,country_capital_city,0.5278559327125549,6,14,26,329.3453369140625
qwen2_5_7b_instruct,country_currency,0.4523589611053467,8,14,26,322.7532043457031
qwen2_5_7b_instruct,country_language,0.5337702631950378,6,14,26,383.01361083984375
qwen2_5_7b_instruct,country_largest_city,0.5099890828132629,6,14,26,362.0848388671875
qwen2_5_7b_instruct,degree_gender,0.595443069934845,10,14,26,354.5154113769531
qwen2_5_7b_instruct,food_from_country,0.5846061706542969,8,14,26,347.5755310058594
qwen2_5_7b_instruct,fruit_inside_color,0.5683755278587341,9,14,26,358.9809875488281
qwen2_5_7b_instruct,fruit_outside_color,0.5564863681793213,8,14,26,341.8353271484375
qwen2_5_7b_instruct,landmark_in_country,0.5782973170280457,209,14,26,335.9622497558594
qwen2_5_7b_instruct,landmark_on_continent,0.5971224904060364,237,14,26,352.3142395019531
qwen2_5_7b_instruct,name_birthplace,0.6556026339530945,8,14,26,343.2549743652344
qwen2_5_7b_instruct,name_gender,0.6583131551742554,5,14,26,330.62469482421875
qwen2_5_7b_instruct,name_religion,0.636505663394928,8,14,26,352.7735900878906
qwen2_5_7b_instruct,object_superclass,0.6114999055862427,19,14,26,315.3177795410156
qwen2_5_7b_instruct,occupation_age,0.5813561081886292,12,14,26,315.4323425292969
qwen2_5_7b_instruct,occupation_gender,0.5647838711738586,5,14,26,345.1220703125
qwen2_5_7b_instruct,person_band_lead_singer,0.4913759231567383,6,14,26,300.0262451171875
qwen2_5_7b_instruct,person_father,0.4229136109352112,248,14,26,235.96051025390625
qwen2_5_7b_instruct,person_mother,0.4034953713417053,249,14,26,212.84605407714844
qwen2_5_7b_instruct,person_native_language,0.6389948129653931,230,14,26,368.4287109375
qwen2_5_7b_instruct,person_occupation,0.5990813970565796,206,14,26,340.3655090332031
qwen2_5_7b_instruct,person_plays_instrument,0.6303930878639221,129,14,26,368.0094604492188
qwen2_5_7b_instruct,person_plays_position_in_sport,0.6116463541984558,238,14,26,343.18115234375
qwen2_5_7b_instruct,person_plays_pro_sport,0.6171863079071045,80,14,26,341.6217041015625
qwen2_5_7b_instruct,person_university,0.4944808781147003,23,14,26,266.0680847167969
qwen2_5_7b_instruct,pokemon_evolutions,0.457779973745346,11,14,26,275.26690673828125
qwen2_5_7b_instruct,presidents_birth_year,0.5818100571632385,5,14,26,242.25491333007807
qwen2_5_7b_instruct,presidents_election_year,0.567140519618988,5,14,26,241.39157104492188
qwen2_5_7b_instruct,product_by_company,0.5147430896759033,131,14,26,346.6031799316406
qwen2_5_7b_instruct,star_constellation,0.5013437271118164,91,14,26,313.9876403808594
qwen2_5_7b_instruct,substance_phase,0.5738314390182495,13,14,26,372.6100158691406
qwen2_5_7b_instruct,superhero_archnemesis,0.4588209092617035,24,14,26,256.31256103515625
qwen2_5_7b_instruct,superhero_person,0.4816144704818725,25,14,26,287.9668273925781
qwen2_5_7b_instruct,task_done_by_person,0.4393234848976135,8,14,26,314.1705017089844
qwen2_5_7b_instruct,task_done_by_tool,0.4283961653709411,13,14,26,302.8573913574219
qwen2_5_7b_instruct,verb_past_tense,0.5344053506851196,19,14,26,321.17138671875
qwen2_5_7b_instruct,word_first_letter,0.5645256638526917,61,14,26,310.4522705078125
qwen2_5_7b_instruct,word_last_letter,0.5815566182136536,61,14,26,323.3995666503906
qwen2_5_7b_instruct,word_sentiment,0.5992432236671448,15,14,26,300.4527587890625
qwen2_5_7b_instruct,work_location,0.4897403120994568,10,14,26,319.6723327636719
